zpc,cult_for,for_cult,cult_prai,prai_cult,prai_for,for_prai,cult_zh,zh_cult,prai_zh,zh_prai,for_zh,zh_for,prai_verg,verg_prai,for_verg,verg_for,prai_vign,vign_prai,for_vign,vign_for,for_art_imp,prai_art_imp,cult_art_imp,for_art_enh,cult_art_enh,prai_art_arb,cult_art_arb
1_1,0.31,-0.53,0.53,-1.03,-0.12,0.12,78.00,-78.00,51.00,-51.00,57.00,-57.00,-1.06,0.55,-0.55,0.32,-1.33,0.69,-0.73,0.43,-38.00,-44.00,-17.00,6.00,27.00,-6.00,21.00
1_2,0.16,-0.28,0.25,-0.49,-0.04,0.04,89.00,-89.00,76.00,-76.00,78.00,-78.00,-0.11,0.06,-0.03,0.01,-0.38,0.20,-0.20,0.12,-17.00,-19.00,-6.00,2.00,13.00,-2.00,11.00
1_3,0.44,-0.75,0.86,-1.67,-0.28,0.28,73.00,-73.00,29.00,-29.00,43.00,-43.00,-1.90,0.98,-0.90,0.53,-2.17,1.12,-1.08,0.63,-52.00,-66.00,-22.00,14.00,44.00,-14.00,30.00
2_1,0.15,-0.25,0.37,-0.72,-0.18,0.18,75.00,-75.00,56.00,-56.00,65.00,-65.00,-0.87,0.45,-0.35,0.21,-1.14,0.59,-0.53,0.31,-30.00,-39.00,-20.00,9.00,19.00,-9.00,10.00
2_2,0.59,-1.00,0.24,-0.46,0.57,-0.57,82.00,-82.00,70.00,-70.00,42.00,-42.00,-0.34,0.18,-0.93,0.54,-0.61,0.31,-1.10,0.65,-53.00,-25.00,-13.00,-28.00,12.00,28.00,40.00
2_3,0.40,-0.68,0.73,-1.41,-0.20,0.20,73.00,-73.00,36.00,-36.00,46.00,-46.00,-1.63,0.84,-0.83,0.48,-1.90,0.98,-1.00,0.59,-49.00,-59.00,-22.00,10.00,37.00,-10.00,27.00
3_1,0.22,-0.38,0.47,-0.91,-0.18,0.18,74.00,-74.00,50.00,-50.00,59.00,-59.00,-1.10,0.57,-0.50,0.29,-1.37,0.71,-0.68,0.40,-36.00,-45.00,-21.00,9.00,24.00,-9.00,15.00
3_2,0.25,-0.43,0.47,-0.91,-0.14,0.14,86.00,-86.00,62.00,-62.00,69.00,-69.00,-0.65,0.33,-0.25,0.15,-0.91,0.47,-0.43,0.25,-26.00,-33.00,-9.00,7.00,24.00,-7.00,17.00
3_3,0.56,-0.95,0.82,-1.60,-0.08,0.08,70.00,-70.00,28.00,-28.00,32.00,-32.00,-1.94,1.00,-1.18,0.69,-2.20,1.14,-1.35,0.79,-63.00,-67.00,-25.00,4.00,42.00,-4.00,38.00
4_1,0.51,-0.88,0.71,-1.37,-0.02,0.02,77.00,-77.00,41.00,-41.00,42.00,-42.00,-1.44,0.74,-0.93,0.54,-1.71,0.88,-1.10,0.65,-53.00,-54.00,-18.00,1.00,36.00,-1.00,35.00
4_2,0.43,-0.73,0.47,-0.91,0.10,-0.10,86.00,-86.00,62.00,-62.00,57.00,-57.00,-0.65,0.33,-0.55,0.32,-0.91,0.47,-0.73,0.43,-38.00,-33.00,-9.00,-5.00,24.00,5.00,29.00
4_3,0.40,-0.68,0.65,-1.25,-0.12,0.12,71.00,-71.00,38.00,-38.00,44.00,-44.00,-1.56,0.80,-0.88,0.51,-1.82,0.94,-1.05,0.62,-51.00,-57.00,-24.00,6.00,33.00,-6.00,27.00
5_1,0.51,-0.88,0.71,-1.37,-0.02,0.02,77.00,-77.00,41.00,-41.00,42.00,-42.00,-1.44,0.74,-0.93,0.54,-1.71,0.88,-1.10,0.65,-53.00,-54.00,-18.00,1.00,36.00,-1.00,35.00
5_3,0.40,-0.68,0.65,-1.25,-0.12,0.12,71.00,-71.00,38.00,-38.00,44.00,-44.00,-1.56,0.80,-0.88,0.51,-1.82,0.94,-1.05,0.62,-51.00,-57.00,-24.00,6.00,33.00,-6.00,27.00
