zpc,cultures,prairies,forêts,zones humides,vergers,vignes,Sols artificialisés,sols artificiels imperméabilisés,sols artificiels enherbés,sols artificiels arborés et buissonants
1_1,47,74,68,125,46,39,37,30,74,68
1_2,36,49,47,125,46,39,24.5,30,49,47
1_3,52,96,82,125,46,39,48,30,96,82
2_1,50,69,60,125,46,39,34.5,30,69,60
2_2,43,55,83,125,46,39,27.5,30,55,83
2_3,52,89,79,125,46,39,44.5,30,89,79
3_1,51,75,66,125,46,39,37.5,30,75,66
3_2,39,63,56,125,46,39,31.5,30,63,56
3_3,55,97,93,125,46,39,48.5,30,97,93
4_1,48,84,83,125,46,39,42,30,84,83
4_2,39,63,68,125,46,39,31.5,30,63,68
4_3,54,87,81,125,46,39,43.5,30,87,81
5_1,48,84,83,125,46,39,42,30,84,83
5_3,54,87,81,125,46,39,43.5,30,87,81
