code_localisation,% BO,% BI
ARA,44.1982128170333,6.70173892767572
BFC,36.8675970222519,14.25456723103
BRE,43.639568196771,9.63353373163478
COR,22.1347703718622,0
CVL,24.8081394217764,23.0271011585178
GES,32.0745519876833,23.5680213746224
HDF,35.4311094618812,10.6304710046248
IDF,26.8429583901886,10.0910378495062
NAQ,43.3558076209041,34.5811195245614
NOR,30.8996254782951,14.2128420860292
OCC,36.7331909046367,24.4283203126773
PAC,15.3797334461604,34.6943092870742
PDL,44.0827081180568,14.1981354500344
